Name;Online Game;Known Serious Game;Type;Main Themes;Playable Now;Language known;English;French;German;Spanish;More Languages;Link
Energy Game;Yes;Yes;Simulation Game;Energy Transition, Climate, Decarbonise your home;Yes;Yes;0;0; GER;0;More languauges to come;https://energygame.ch/
Ensured Energy;Yes;Yes;Simulation Game;Energy Transition, Policies, Decarbonise the Swiss energy system;Yes;Yes;EN; FR; GER;0;Italian;sweet-sure.ch/game
Sarnetz;Yes;Yes;Digital Board Game;Energy Transition;No (needs a workshop/facilitators);No;0;0;0;0;0;https://sarnetz.ch/
En-ROADS;Yes;Yes;Scenario Simulation Game;Climate;No (needs a workshop/facilitators);Yes;EN; FR; GER; ES;Many more;https://www.climateinteractive.org/en-roads/
Windfall;Yes;No;Browser Game;Energy Transition;Yes;Yes;EN;0;0;0;0;https://persuasivegames.com/game/windfall
Climapower;Yes;No;Mobile Game/App;Climate;Yes (after app download);No;0;0;0;0;0;https://www.nau.ch/lifestyle/climapower
Climate Game;Yes;No;Simulation Game;Climate ;Yes;Yes;EN;0;0;0;0;https://ig.ft.com/climate-game/
Vote Now;Yes;No;Simulation Game;Climate Policies;Yes;Yes;EN;0;0;0;0;https://jrante.itch.io/vote-now
Half-Earth Socialism;Yes;No;Browser Game;Climate, Energy Transition, Politics;Yes;Yes;EN; FR; GER; ES;Many more;https://play.half.earth/
The Green New Deal Simulator;Yes;No;Deck Building Game;Energy Transition;Yes;Yes;EN;0;0;0;0;https://molleindustria.itch.io/green-new-deal-simulator
My 2050 - CREATE YOUR PATHWAY TO A LOW CARBON UK BY 2050;Yes;No;Simulation Browser Game;Climate;Yes;Yes;EN;0;0;0;0;https://my2050.energysecurity.gov.uk/
Balancing the Grid;Yes;No;Browser Game;Energy;Yes;Yes;EN;0;0;0;0;https://www.neso.energy/energy-101/balancing-grid-interactive-game
Carbon City Zero ;Yes;No;Board game;Climate;Yes (after print);Yes;EN;0;0;0;0;https://www.pnparcade.com/products/carbon-city-zero-world-edition
La Fresque du Climat;No;No;Card Game;Climate;No (needs a workshop/facilitators);Yes;0;FR;0;0;0;https://fresqueduclimat.org
City Energy Game;No;Yes;Board Game with role play;Energy, Climate, Cities, Collective decision-making, roles of citizens ;No (needs a workshop/facilitators);No;0;0;0;0;0;https://wikifactory.com/@ger/introduction-and-overview
postfossilCities;No;Yes;Simulation Card Game;Energy, Climate, Cities;No (needs a workshop/facilitators);Yes;EN;0;GER;0;0;http://www.nrp73.ch/en/projects/cities-mobility/post-fossil-cities
Urban Living Lab Card game;No;Yes;Card and Boardgame;Cities, Climate, Nature-based Solutions, learn how Urban Living Lab functions, stakeholders;No (needs a workshop/facilitators);No;0;0;0;0;0;https://openlivinglabdays.com/2019/06/11/urban-living-lab-playground-the-game
Catan Globale Erwärmung;No;No;Board game;Climate;Yes (after print);Yes;0;0;GER;0;0;https://static1.squarespace.com/static/5c179ea9a2772c041db0e4ad/t/5c1e9ad8b8a045738676b542/1545509605698/Global+Warming+Expansion+-+German.pdf
